Description	NSLA_1001	NSLA_1003	NSLA_1005	NSLA_1006	NSLA_1009	NSLA_1010	NSLA_1011	NSLA_1012	NSLA_1013	NSLA_136	NSLA_138	NSLA_139	NSLA_14	NSLA_168	NSLA_179	NSLA_187	NSLA_2_116	NSLA_2_118	NSLA_2_171	NSLA_2_184	NSLA_2_19	NSLA_2_220	NSLA_2_221	NSLA_2_24	NSLA_2_252	NSLA_2_265	NSLA_2_266	NSLA_2_273	NSLA_2_275	NSLA_2_30	NSLA_2_350	NSLA_2_363	NSLA_2_369	NSLA_2_379	NSLA_2_407	NSLA_2_41	NSLA_2_411	NSLA_2_5	NSLA_2_8	NSLA_2_97	NSLA_20	NSLA_216	NSLA_235	NSLA_239	NSLA_259	NSLA_271	NSLA_291	NSLA_300	NSLA_310	NSLA_311	NSLA_312	NSLA_350	NSLA_356	NSLA_379	NSLA_380	NSLA_407	NSLA_421	NSLA_429	NSLA_460	NSLA_464	NSLA_469	NSLA_479	NSLA_483	NSLA_490	NSLA_50	NSLA_519	NSLA_535	NSLA_541	NSLA_542	NSLA_563	NSLA_571	NSLA_585	NSLA_589	NSLA_6	NSLA_61	NSLA_611	NSLA_616	NSLA_632	NSLA_649	NSLA_653	NSLA_657	NSLA_66	NSLA_663	NSLA_665	NSLA_667	NSLA_672	NSLA_675	NSLA_677	NSLA_679	NSLA_693	NSLA_696	NSLA_698	NSLA_699	NSLA_72
ABCF1:S166-p	-0.882678	0	-0.790356	0.891002	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	0.034279	-0.275119	2.14443	2.31936	0.12980398	-0.228578	0	0	-0.625384	1.6804	-0.48136	1.64387	-0.789594	0.101158	0.112797	-0.262019	0.347665	-0.601036	-0.015416	-0.474364	0.193029	0	0	1.88688	0.779868	1.7429	-0.628756	-2.09252	-0.141352	-0.831505	-1.32989	-1.44448	0.389507	2.29474	0.050214001	0	0.299238	-1.18795	-0.483495	-0.656347	1.06482	0.476125	0.0689754	2.18993	0.970086	0	0.41593	0.285722855	0	0.75143	0.248861	-0.136301	0.838739	-0.989421	1.96224	0.050274196	-1.02365	0.0634912	-1.01815	1.04801	0.030285575	-0.41741	-0.071522829	0.645703	0	-0.570525	-0.260217606	-0.049251438	-0.285187	-0.383252	-0.117886842	0.246355	1.41678	0.109245115	0.120561	0.144652	-0.16875775	0.23044097	1.08067	0.582246	0.205130311	-0.044972689	-0.437109	0.688359	0.582731
ABI1:S183-p	1.47195	2.09319	0.200016699	-0.009362227	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	0.032912271	-0.861346	-1.24465	-0.177939	1.33683	1.78868	0	0.106929	-0.010558132	-0.217627	0.27714	-0.03526551	-0.205973582	-0.0185314	-0.668525	-0.109974983	0	-0.737366	-0.191549	0.090730211	0.118178	0.048861219	0.396059	0.084581591	1.02317	-0.420167	0.243153	-0.739793	0.10870514	0.238031446	0.0265203	-1.01121	0	-0.220224	0.37784	0.059226215	-0.317372	0.086385657	1.43469	0.230658099	-0.426240137	0.0476277	1.37715	0.055701094	1.90941	0	-0.476296	0	-0.271531	-0.235597798	0.32902	-0.063685469	-0.844042	-0.096115796	0	1.07079	0.013194124	-0.174235754	0.0343767	0.226892	1.57965	-0.0896092	0	-0.619945	-0.11132429	-0.971426	0.705144	-0.652518	1.93173	1.06446	-1.38073	0.616913	0.815036	0.523258	-0.771365	0.853304	-0.414601	0	-0.743293	1.37811	-0.142751	-0.146872	1.65965	-1.57696	0.226184925
ABI1:S222-p	-0.273998	-1.53276	0.200016699	-0.009362227	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	0.0732724	0.117026001	1.43861	1.38682	-2.33143	-0.005097228	-0.183322629	-0.407628	0.323783	0.14218	0.199224405	-1.34554	0.507005	1.21786	-1.32284	-0.109974983	-1.24008	-1.51422	-0.868062	0.090730211	0	0	0.236282	-1.23498	0.54064	-0.112916196	0.127827	0	-1.23701	-1.13301	0.367853	-1.23252	-0.043455221	0.216195614	-0.353515	-0.376541	-0.08782391	0.588084	0.042809469	-1.8186	-0.426240137	0.120684366	-1.5208	0.055701094	1.47555	0.841671	-0.546852	-1.2517	-1.46085	0.0419832	1.1004	-0.063685469	-0.413453	0	-1.15383	0	1.50221	-0.73782	-0.550169	0.350111	0.816784	-1.22203	1.09754	0.957035	-0.11132429	-0.491483069	-2.12062	-0.391699	-1.2384	-0.192087074	-0.489157	1.1018	0.069908096	-0.261478	-0.0812277	0.989634	0.0241335	0.738493	0.38753	-1.63792	1.73017	0.0288916	1.16093	0.273414	0.226184925
ABI1:S225-p	0.19642327	0.152148362	0.200016699	-0.009362227	0.19903	0.541672	1.19822	-0.516765	0	-1.35275	1.0824	-1.15676	0.0092125	0.809033	1.02163	-0.356402	0.623363	2.18225	-0.799348	0	0.0520989	0.348084	0.262128	-0.0795578	-0.109974983	0	-0.088887	-1.51327	0.090730211	0	0	0.578024	-0.450284	1.73756	-2.16696	-0.251559	-0.137139386	-0.930126	-0.383894	-0.140958279	-0.207304571	-0.71041	0	0	-0.154497	-0.303724	0.192341	-0.420692	-0.823252	-0.426240137	2.15356	1.5606	0.055701094	0.0919614	-0.03925325	0.042738634	-1.70432	0.157969893	-1.20394	-0.10820499	-0.063685469	0.063723729	1.24493	1.03443	0.050274196	0.716685	-1.76845	-0.18806812	0.0999993	0.030285575	-0.226844096	-0.071522829	0.692228	-0.11132429	1.35437	-1.10272	0.520058	0.027756863	-0.318235	-0.117886842	0	0.828968	0.109245115	0.12487259	-1.02208	-0.0793923	0	0.035430144	-0.104171175	0.205130311	-0.77963	0.003342637	-0.014067928	0.226184925
ABLIM1:S586-p	1.05889	0.587475	-0.676138	0	-0.942237	0.710855	0.707841	0.578353	-0.324211	0.310982	-0.602235	-1.23959	0.063644588	-2.67438	-0.904508	-1.00934	-1.0682	-1.06305	0	-1.40003	-0.694031	0	0.521411	0.710267	0.458246	1.42018	0	1.49352	-0.542068	0.593832	1.4189	0.272961	-0.998592	-0.488851	0.259706	-0.792474	-0.0970115	1.47525	-0.912607	-0.753835	-1.47068	-0.043455221	0.247308	-0.573633	0.144754	0.796686	-0.138784	0	1.0007	-2.04627	-0.251016	-0.125682	1.22065	-0.24567833	1.30734	-0.244649	0.184021	0.918369	-1.74088	0.718985	0.880027	-2.02185	0	1.01584	0.298102	0.0700245	-1.93049	1.44338	-0.84159	-0.654354	1.56358	0.0522757	1.48691	0.532039	-0.491483069	-0.260217606	-0.049251438	-1.90757	-0.192087074	-0.00910935	0.287697474	1.62789	0.688365	0.928534	1.06326	0.378828	0.23044097	0.518721	-0.878059	0.292224	0.0445714	-0.327201	-1.71855	-0.551643
ABLIM1:S587-p	1.05889	0.587475	-1.20083	0	-0.942237	0.710855	0.707841	0.578353	-0.324211	0	-0.602235	0.232738	0.063644588	-2.17294	-0.904508	-1.00934	0	-0.114885	0	-1.40003	-0.651105	0.847021	0.640878	-0.644389	0.204593	0.469719	-1.28403	1.49352	-0.403743	0.593832	1.34549	0.272961	-0.440466	-0.488851	0.259706	-0.534734	-0.0970115	1.65543	-1.29996	-0.753835	-1.47068	-0.043455221	0.247308	0.274619	0.059226215	0.796686	0.086385657	0	0.230658099	-2.1034	-0.251016	-0.125682	0.75924	-0.24567833	1.30734	-0.244649	1.09068	0.918369	-0.235597798	0.718985	0.0142643	-2.02185	-0.096115796	1.01584	0.298102	0.013194124	-0.174235754	1.43294	0.500128	-0.654354	1.56358	0.0522757	1.48691	0.0595531	-0.491483069	-0.260217606	-0.049251438	-1.90757	-0.192087074	-0.00910935	0.287697474	1.62789	0.688365	0.892518	1.06326	1.04523	0.23044097	0.349782	-0.878059	0.292224	-0.0304157	-0.238598	-1.76013	-1.16131
ABLIM1:S431-p	0.302826	0.631755	0.200016699	-0.009362227	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	0	0.218755	0.159039	0	0.453275	-0.961856	-0.161648	-0.781832	0.0605479	0.071027592	-0.134721	-0.797201	0.163681	-1.67207	0.420303	-0.109974983	1.20002	-0.845691	0.104204435	0.090730211	0.090834589	-0.630612	-0.130959675	-1.98798	-0.356090301	0.928005	-0.532912	-0.00980026	0.431439	0.0484134	-0.412611	0.508763	0	-1.6068	0.906629	0.059226215	0.136209	0.086385657	0.569818	0.230658099	-0.426240137	-2.01324	1.42305	0.055701094	0.451881	0.395105	0.360445	0.675942	0.251839	-0.235597798	-0.195634	-0.063685469	-2.52353	-0.096115796	-1.60625	0	0.013194124	-0.174235754	1.81038	0	0.197563	1.88408	-1.38585	1.326	-0.11132429	0.361568	-0.260217606	-0.049251438	-0.743593	0.713392	-1.21939	1.09782	0	0.878971	1.17988	0	0.0361783	0.23044097	0.26609	0	-1.07908	-1.17959	1.17414	-0.125382	0.226184925
ABLIM1:S655-p	1.19766	0.443668	0.200016699	-0.009362227	-0.650974	0.391795	1.65093	-0.00688255	0	-0.114884	-0.973787	-0.045475977	0.063644588	1.15565	0.279993	0.566542	0.150113325	1.31867	0	-1.05295	-0.206112	0	0.846916	-0.043253241	-0.109974983	0.020395053	0.166430724	0.161694	0.090730211	0.157771	0.0382551	-0.27782	-0.217724	1.99965	0.181001	0.043925172	0.242632	2.1917	-0.797338	-0.906241	-0.340804	0.465053	-0.214623	0.372269	0.059226215	-0.0411896	0.086385657	0.706582	0.230658099	-0.426240137	-0.961865	0.089735583	0.055701094	-0.24567833	0.897312	-0.686981	0.62366	0	-0.235597798	0.468522	-0.063685469	-1.28764	-0.096115796	0.197024719	0.656959	0.013194124	-0.174235754	0.342329	-0.107319121	-0.623272	2.09337	-0.161895	0.024378264	-0.11132429	1.06814	0.418268	-1.80064	1.09059	0.307642	0.136537	0.287697474	2.276	2.13533	0.794353	0.063418735	1.60565	-1.76016	0.741041	-1.20725	0	-1.10191	2.09936	-0.586045	0.226184925
ABLIM1:S452-p	0.19642327	0.152148362	-0.614305	0.447654	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	-0.764188	-1.69891	0.104202	-0.747303	0.12980398	0.313148	0	-0.665485	2.49319	0.071027592	0.199224405	-0.43836	0	0.050984	2.09537	0.947191	0.158676	-1.3606	0.104204435	0	0.090834589	-0.102186	-0.130959675	0.249816	-0.356090301	-0.112916196	-0.296087	-0.137139386	0.676295	-0.689235	-0.140958279	0	-0.043455221	-1.02351	0.050214001	0.362917	0.0912384	-1.09431	0.069567	-0.51932	-1.71172	-1.89772	-0.151915	-0.157133	0	0.89765	0	0.285722855	0.212392	-1.64136	1.72201	1.06224	0.063723729	0.297685	-0.204781	0	1.74672	-0.549362	2.46514	-0.363828	-1.47749	2.35706	0.0527213	1.60573	1.43012	-0.491483069	0.0283729	-1.6742	0.0976034	-0.192087074	-0.116138	-1.19753	0.525519	0.331413	0.337939	1.03435	-0.16875775	-1.52344	0.308505	0.450614	0.442259	-0.044972689	0	-0.863144	-0.629914
ABLIM1:S706-p	0.19642327	0.152148362	0.200016699	-0.009362227	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	-1.08791	-0.659188	-0.045475977	0.063644588	1.30529	0	-0.323997	0.150113325	1.7942	-0.0089702	-0.0255789	-1.13092	0.392089	0.429762	-0.043253241	-0.109974983	0.020395053	0.166430724	0.331931	0.090730211	0.223133	-0.404524	0.449449	0.220647	1.5707	0	0.043925172	-0.137139386	0	-1.3295	-0.140958279	-0.207304571	1.0508	0.123834	0	0.059226215	0.17144	0.086385657	-1.24788	0.230658099	-0.426240137	-1.73438	1.7963	0.055701094	-0.24567833	1.06894	-1.37224	0.272917	0.157969893	-0.235597798	-0.10820499	-0.063685469	0.063723729	-0.096115796	-0.173071	0.050274196	0.013194124	-0.174235754	1.40645	-0.107319121	0.030285575	1.04722	-0.071522829	1.51599	-0.11132429	1.76783	-0.260217606	-0.049251438	0.027756863	0.715307	-0.117886842	0.287697474	1.68795	0.109245115	0.826589	0.440455	1.06844	0.23044097	-0.0769317	0.217822	0.205130311	-1.54044	1.37446	-1.25662	0.226184925
ABLIM1:S422-p	0.19642327	0.152148362	0.200016699	-0.009362227	0.091924011	-0.049563054	-0.075293651	-0.132102873	0.066937143	-1.35718	0.117026001	0.565574	-1.34686	0.12980398	-0.005097228	-0.183322629	0.250495	0.837675	-0.0437623	-0.0590813	-1.39083	0	0.613122	-0.239045	-0.109974983	0	-1.23809	1.42519	0.090730211	0.543918	0.118066	1.05717	-0.272693	0.838257	-0.935328	-0.826446	-0.137139386	1.03356	-1.41049	-0.140958279	0.0426221	-0.043455221	0.216195614	1.27444	0.059226215	-0.08782391	0.086385657	0.042809469	0.230658099	-0.426240137	0.120684366	0.83901	0.055701094	-1.03327	-0.03925325	0.042738634	0.702892	2.12909	-0.235597798	1.29337	-0.063685469	0.063723729	-0.096115796	-0.207824	0.050274196	0.013194124	-0.174235754	2.31986	0.439782	0.030285575	-0.226844096	-0.071522829	0	-0.11132429	-0.491483069	-0.260217606	-0.049251438	-0.431874	-0.192087074	-0.117886842	-1.5691	0.069908096	0.109245115	1.15086	0.960058	0.342506	0.23044097	0.615398	-0.104171175	0.205130311	-0.364694	0.738141	0	0.226184925
ACACA:S29-p	0.402284	-1.76715	0.481547	0.688418	0.485621	0	2.10843	-0.141734	-1.37476	0	1.27701	-0.598874	0.063644588	-1.05975	-0.121849	-1.90889	-0.399531	0.128159	-1.24426	1.45405	-0.558347	-0.60698	1.31638	0.0794751	-0.276763	-0.782374	0.343931	0	0	0.00771627	-0.675368	-0.908392	-0.205598	0.287266	0.403223	-1.18224	-1.17733	0.698226	2.14117	1.01421	-0.207304571	-0.043455221	-0.787169	1.11342	-0.396753	0.651355	2.13979	0	1.22022	0.439469	0.326583	2.11834	-0.633347	-0.24567833	-0.03925325	0.042738634	0.91916	0.157969893	-0.17809	-0.10820499	-0.532335	0	-0.0330038	-0.628251	0.365947	-0.00472427	1.24067	-1.59139	1.34867	-0.699475	-0.226844096	0	0.723945	1.67348	-0.491483069	-0.260217606	-0.821374	0.027756863	-0.192087074	-1.0685	0.287697474	1.24281	-1.56437	0.195878	-0.280098	-0.625954	0.162069	-0.640839	-0.104171175	0.979547	0.127825	0	1.28683	-1.88133
ACACA:S25-p	0.19642327	0.152148362	-0.0804981	0.34916	-0.974843	0.304409	1.48136	-0.562321	-1.57232	0.0444501	-0.0915945	0.327272	0.063644588	0.12980398	0	-0.442525	0	-0.757035	0.071027592	0.199224405	-0.801961	-0.986372	1.76705	0.0282255	-0.969919	-0.348977	0.342526	0.104204435	0	0.090834589	-1.27362	-0.130959675	0.924717	-0.356090301	-0.112916196	-1.90195	-0.137139386	0	0.457358	-0.140958279	-0.207304571	0.688716	1.3451	0.050214001	-0.567902	0.940186	0	-0.656748	-0.235439	0.134489	1.16889	2.37879	0.935138	-0.24567833	-0.03925325	0.042738634	0.285722855	0.157969893	1.34615	-0.10820499	-2.42302	0.063723729	-0.54121	0.834661	0.050274196	-0.802773	1.71135	-1.83926	0.560361	0.030285575	-0.226844096	-0.071522829	-0.454197	0.359866	-1.01316	-0.260217606	-0.049251438	0.027756863	-0.4865	-0.117886842	0.287697474	1.80753	0.109245115	-0.24182	0	-0.16875775	0.23044097	1.03193	-0.104171175	0.205130311	-0.044972689	-1.04301	0.722269	-0.194392
